ArchiveDate,Hospital_Name,Case_Type,Adult_Child,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
29/01/2026,Bantry General Hospital,Day Case,Adult,121,0,0,0,121
29/01/2026,Beaumont Hospital,Day Case,Adult,"4,272","2,216",870,589,"7,947"
29/01/2026,Cavan General Hospital,Day Case,Adult,337,2,0,0,339
29/01/2026,Connolly Hospital Blanchardstown,Day Case,Adult,"1,153",277,28,2,"1,460"
29/01/2026,Coombe Women and Infants University Hospital,Day Case,Adult,30,0,0,0,30
29/01/2026,Cork University Hospital,Day Case,Adult,670,258,104,19,"1,051"
29/01/2026,Cork University Maternity Hospital,Day Case,Adult,483,74,0,0,557
29/01/2026,Croom Orthopaedic Hospital,Day Case,Adult,173,238,62,0,473
29/01/2026,Ennis Hospital,Day Case,Adult,500,182,7,0,689
29/01/2026,Galway University Hospitals,Day Case,Adult,"5,506","2,257","1,320","1,033","10,116"
29/01/2026,Kilcreene Regional Orthopaedic Hospital,Day Case,Adult,182,7,0,0,189
29/01/2026,Letterkenny University Hospital,Day Case,Adult,"2,209",280,78,28,"2,595"
29/01/2026,Louth County Hospital,Day Case,Adult,607,65,0,0,672
29/01/2026,Mallow General Hospital,Day Case,Adult,264,108,2,0,374
29/01/2026,Mater Misericordiae University Hospital,Day Case,Adult,"4,494","1,562",575,"1,051","7,682"
29/01/2026,Mayo University Hospital,Day Case,Adult,812,115,2,0,929
29/01/2026,Mercy University Hospital,Day Case,Adult,604,225,30,2,861
29/01/2026,Midland Regional Hospital Mullingar,Day Case,Adult,390,67,5,0,462
29/01/2026,Midland Regional Hospital Portlaoise,Day Case,Adult,231,53,36,12,332
29/01/2026,Midland Regional Hospital Tullamore,Day Case,Adult,856,320,160,57,"1,393"
29/01/2026,Naas General Hospital,Day Case,Adult,274,66,29,0,369
29/01/2026,National Maternity Hospital (Holles Street),Day Case,Adult,172,54,11,12,249
29/01/2026,National Orthopaedic Hospital Cappagh,Day Case,Adult,510,39,5,2,556
29/01/2026,Nenagh Hospital,Day Case,Adult,"1,214",515,222,5,"1,956"
29/01/2026,Our Lady of Lourdes Hospital Drogheda,Day Case,Adult,398,135,66,20,619
29/01/2026,Our Lady's Hospital Navan,Day Case,Adult,587,39,0,0,626
29/01/2026,Portiuncula University Hospital,Day Case,Adult,402,73,27,6,508
29/01/2026,Roscommon University Hospital,Day Case,Adult,621,101,30,77,829
29/01/2026,Rotunda Hospital,Day Case,Adult,275,32,5,2,314
29/01/2026,Royal Victoria Eye and Ear Hospital,Day Case,Adult,"2,122",678,168,181,"3,149"
29/01/2026,Sligo University Hospital,Day Case,Adult,"1,690",392,217,199,"2,498"
29/01/2026,South Infirmary Victoria University Hospital,Day Case,Adult,"2,880",868,371,395,"4,514"
29/01/2026,St. Columcille's Hospital,Day Case,Adult,360,98,16,5,479
29/01/2026,St. James's Hospital,Day Case,Adult,"3,200","1,061",200,212,"4,673"
29/01/2026,St. John's Hospital Limerick,Day Case,Adult,310,85,0,0,395
29/01/2026,St. Luke's General Hospital Kilkenny,Day Case,Adult,429,129,26,18,602
29/01/2026,St. Michael's Hospital,Day Case,Adult,731,167,46,29,973
29/01/2026,St. Vincent's University Hospital,Day Case,Adult,"2,529",499,264,118,"3,410"
29/01/2026,Tallaght University Hospital,Day Case,Adult,"2,495",496,125,122,"3,238"
29/01/2026,Tipperary University Hospital,Day Case,Adult,379,80,5,0,464
29/01/2026,University Hospital Kerry,Day Case,Adult,462,71,10,0,543
29/01/2026,University Hospital Limerick,Day Case,Adult,"1,135",583,278,227,"2,223"
29/01/2026,University Hospital Waterford,Day Case,Adult,"3,181","1,029",371,753,"5,334"
29/01/2026,Wexford General Hospital,Day Case,Adult,729,184,44,30,987
29/01/2026,Beaumont Hospital,Inpatient,Adult,"1,162",917,707,729,"3,515"
29/01/2026,Connolly Hospital Blanchardstown,Inpatient,Adult,467,31,3,0,501
29/01/2026,Cork University Hospital,Inpatient,Adult,317,150,101,38,606
