ArchiveDate,Adult_Child,Speciality,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
29/01/2026,Adult,Breast Surgery,979,13,0,2,994
29/01/2026,Adult,Breast Surgery,"4,402",107,2,0,"4,511"
29/01/2026,Adult,Cardio-Thoracic Surgery,378,56,28,25,487
29/01/2026,Adult,Cardiology,"23,228","11,434","2,978","1,557","39,197"
29/01/2026,Adult,Cardiology,"1,603",604,188,35,"2,430"
29/01/2026,Adult,Chemical Pathology,123,66,24,87,300
29/01/2026,Adult,Clinical (Medical) Genetics,789,730,509,935,"2,963"
29/01/2026,Adult,Clinical Immunology,517,379,226,223,"1,345"
29/01/2026,Adult,Clinical Immunology,"1,104",756,313,60,"2,233"
29/01/2026,Adult,Dermatology,"25,166","13,051","6,774","7,771","52,761"
29/01/2026,Adult,Dermatology,"3,063","1,535",65,0,"4,663"
29/01/2026,Adult,Diabetes Mellitus,"1,292",339,28,26,"1,686"
29/01/2026,Adult,Endocrinology,"8,106","3,926","2,006","6,312","20,350"
29/01/2026,Adult,Endocrinology,"1,094",605,85,46,"1,830"
29/01/2026,Adult,Gastro-Enterology,686,349,19,0,"1,054"
29/01/2026,Adult,Gastro-Enterology,"12,447","5,087","1,237",318,"19,089"
29/01/2026,Adult,Gastro-Intestinal Surgery,782,279,32,0,"1,093"
29/01/2026,Adult,General Medicine,"6,737","3,257","1,189",913,"12,095"
29/01/2026,Adult,General Surgery,788,30,2,0,820
29/01/2026,Adult,General Surgery,"24,970","4,207",564,312,"30,054"
29/01/2026,Adult,Geriatric Medicine,570,71,0,0,641
29/01/2026,Adult,Geriatric Medicine,"3,567",693,182,42,"4,485"
29/01/2026,Adult,Gynaecology,"28,106","6,944",775,110,"35,936"
29/01/2026,Adult,Gynaecology,320,367,57,0,744
29/01/2026,Adult,Haematology,968,445,27,0,"1,440"
29/01/2026,Adult,Haematology,"5,942","2,810",901,442,"10,096"
29/01/2026,Adult,Hepato-Biliary Surgery,93,64,20,0,177
29/01/2026,Adult,Immunology,67,0,0,0,67
29/01/2026,Adult,Infectious Diseases,671,148,52,4,876
29/01/2026,Adult,Maxillo-Facial,55,4,0,0,59
29/01/2026,Adult,Maxillo-Facial,"2,525",380,183,25,"3,113"
29/01/2026,Adult,Metabolic Medicine,87,48,10,0,145
29/01/2026,Adult,Nephrology,282,39,0,0,321
29/01/2026,Adult,Nephrology,"2,834",821,160,95,"3,909"
29/01/2026,Adult,Neurology,"1,965","1,577",932,"1,366","5,840"
29/01/2026,Adult,Neurology,"9,908","4,280","1,956","2,682","18,826"
29/01/2026,Adult,Neurosurgery,"2,562","1,603","1,058",663,"5,886"
29/01/2026,Adult,Neurosurgery,"1,901","1,710",690,196,"4,497"
29/01/2026,Adult,Obstetrics,119,0,0,0,119
29/01/2026,Adult,Oncology,709,8,0,0,717
29/01/2026,Adult,Oncology,79,0,0,0,79
29/01/2026,Adult,Ophthalmology,"18,950","10,399","4,715","3,801","37,865"
29/01/2026,Adult,Ophthalmology,475,265,168,95,"1,003"
29/01/2026,Adult,Orthopaedics,"37,372","20,535","6,706","4,058","68,670"
29/01/2026,Adult,Orthopaedics,"1,512","1,208",771,467,"3,958"
29/01/2026,Adult,Otolaryngology (ENT),"19,110","8,417","3,028","1,572","32,127"
29/01/2026,Adult,Otolaryngology (ENT),"2,333",831,216,488,"3,868"
29/01/2026,Adult,Paed Cardiology,2,2,8,23,36
29/01/2026,Adult,Paediatric Dermatology,15,4,2,0,22
29/01/2026,Adult,Paediatrics,65,50,57,40,212
29/01/2026,Adult,Pain Relief,"6,995","4,299","2,087","1,366","14,748"
29/01/2026,Adult,Pain Relief,763,812,489,101,"2,165"
29/01/2026,Adult,Plastic Surgery,"1,877",988,59,2,"2,926"
29/01/2026,Adult,Plastic Surgery,"8,026","2,829",621,"1,818","13,294"
29/01/2026,Adult,Psychiatry,428,95,24,23,570
29/01/2026,Adult,Psychiatry,43,0,0,0,43
29/01/2026,Adult,Radiology,17,2,4,0,23
29/01/2026,Adult,Radiotherapy,31,2,0,0,33
29/01/2026,Adult,Respiratory Medicine,"12,432","6,635","2,904","2,554","24,525"
29/01/2026,Adult,Respiratory Medicine,"1,350",485,12,0,"1,847"
29/01/2026,Adult,Rheumatology,"7,623","3,200","1,192","1,138","13,153"
29/01/2026,Adult,Rheumatology,466,167,2,0,635
29/01/2026,Adult,Small Volume Specialties,495,78,19,10,603
29/01/2026,Adult,Small Volume Specialties,10,0,0,0,10
29/01/2026,Adult,Urology,"2,479","1,270",486,221,"4,456"
29/01/2026,Adult,Urology,"12,533","5,612","1,883","1,425","21,453"
29/01/2026,Adult,Vascular Surgery,"1,205",319,36,0,"1,560"
29/01/2026,Adult,Vascular Surgery,"7,663","3,476","1,031",316,"12,486"
29/01/2026,Child,Cardio-Thoracic Surgery,27,0,0,0,27
29/01/2026,Child,Clinical (Medical) Genetics,28,4,2,0,33
29/01/2026,Child,Clinical Immunology,330,208,126,87,751
29/01/2026,Child,Dental Surgery,159,86,53,20,318
29/01/2026,Child,Dermatology,"1,457",778,468,857,"3,560"
29/01/2026,Child,Developmental Paediatrics,465,137,6,0,608
29/01/2026,Child,General Surgery,668,226,66,7,966
29/01/2026,Child,Gynaecology,525,119,39,0,682
29/01/2026,Child,Immunology,167,65,2,15,249
29/01/2026,Child,Maxillo-Facial,265,41,28,8,342
29/01/2026,Child,Ophthalmology,"2,561",789,287,274,"3,910"
